City, Rating, School, type, state, zip, street address
Fair Lawn, 9, Warren Point Elementary School, Elementary, NJ, 07410, 3007 Broadway
Fair Lawn, 10, Henry B. Milnes Elementary School, Elementary, NJ, 07410, 801 Phillip St
Fair Lawn, 7, Radburn Elementary School, Elementary, NJ, 07410, 1800 Radburn Rd
Fair Lawn, 9, Lyncrest Elementary School, Elementary, NJ, 07410, 9-04 Morlot Ave
Fair Lawn, 4, John A. Forrest Elementary School, Elementary, NJ, 07410, 10 00 Hopper Ave
Fair Lawn, 8, Thomas Jefferson Middle School, Middle, NJ, 07410, 35 01 Morlot Ave
Fair Lawn, 7, Memorial Middle School, Middle, NJ, 07410, 12 00 First St
Fair Lawn, 8, Fair Lawn High School, High, NJ, 07410, 14 00 Berdan Ave
River Edge, 9, Cherry Hill Elementary School, Elementary, NJ, 07661, 410 Bogert Rd
River Edge, 8, Roosevelt Elementary School, Elementary, NJ, 07661, 711 Summit Ave
